name,code,gini
Turkey,TUR,0.586472174047813
USA,USA,0.5974275745550086
Yemen,YEM,0.590264947750889
2015
Bahrain,BHR,0.600166562620094
Brazil,BRA,0.641121241726629
China,CHN,0.4793672193745036
Czech Republic,CZE,0.335404423244575
Germany,DEU,0.4485080721585333
Egypt,EGY,0.5374125622477279
Korea, Republic of,0.34244706651799994
Poland,POL,0.4114709071471552
Russian Federation,RUS,0.545238349162226
Thailand,THA,0.588004431552855
Turkey,TUR,0.591756805349952
Yemen,YEM,0.590264947750889
